Batch_Number,Date,Drug_Name,MRP_Unit_Price,Qty_Sold,Total_Amount,Transaction_ID
GEN-11451,2023-05-31,Glycomet 500,22.5,4,90.0,TXN-11451
ALL-2304-77,2023-05-31,Allegra 120,198.0,3,594.0,TXN-11452
ALL-2305-58,2023-05-31,Allegra 120,198.0,4,792.0,TXN-11453
PAN-2304-54,2023-05-31,Pan 40,155.0,4,620.0,TXN-11454
GLY-2305-65,2023-05-31,Glycomet 500,22.5,2,45.0,TXN-11455
GEN-11456,2023-05-31,Allegra 120,198.0,4,792.0,TXN-11456
PAN-2305-91,2023-05-31,Pan 40,155.0,2,310.0,TXN-11457
ALL-2304-77,2023-06-01,Allegra 120,198.0,4,792.0,TXN-11458
ALL-2305-35,2023-06-01,Allegra 120,198.0,4,792.0,TXN-11459
ALL-2304-77,2023-06-01,Allegra 120,198.0,1,198.0,TXN-11460
AZI-2305-84,2023-06-01,Azithral 500,118.5,5,592.5,TXN-11461
DOL-2304-79,2023-06-01,Dolo 650,30.0,8,240.0,TXN-11462
ALL-2305-58,2023-06-01,Allegra 120,198.0,4,792.0,TXN-11463
TEL-2305-98,2023-06-01,Telma 40,220.0,5,1100.0,TXN-11464
DOL-2305-12,2023-06-01,Dolo 650,30.0,7,210.0,TXN-11465
PAN-2304-54,2023-06-01,Pan 40,155.0,4,620.0,TXN-11466
DOL-2305-12,2023-06-01,Dolo 650,30.0,8,240.0,TXN-11467
TEL-2305-49,2023-06-01,Telma 40,220.0,3,660.0,TXN-11468
GEN-11469,2023-06-01,Allegra 120,198.0,5,990.0,TXN-11469
TEL-2305-98,2023-06-02,Telma 40,220.0,2,440.0,TXN-11470
TEL-2304-16,2023-06-02,Telma 40,220.0,5,1100.0,TXN-11471
GLY-2305-80,2023-06-02,Glycomet 500,22.5,1,22.5,TXN-11472
PAN-2305-91,2023-06-02,Pan 40,155.0,5,775.0,TXN-11473
GLY-2304-25,2023-06-02,Glycomet 500,22.5,1,22.5,TXN-11474
TEL-2305-98,2023-06-02,Telma 40,220.0,4,880.0,TXN-11475
AZI-2305-84,2023-06-02,Azithral 500,118.5,3,355.5,TXN-11476
DOL-2304-79,2023-06-02,Dolo 650,30.0,10,300.0,TXN-11477
GLY-2304-25,2023-06-02,Glycomet 500,22.5,2,45.0,TXN-11478
TEL-2304-16,2023-06-02,Telma 40,220.0,2,440.0,TXN-11479
DOL-2305-67,2023-06-02,Dolo 650,30.0,10,300.0,TXN-11480
AZI-2305-56,2023-06-02,Azithral 500,118.5,3,355.5,TXN-11481
AZI-2305-84,2023-06-03,Azithral 500,118.5,2,237.0,TXN-11482
DOL-2305-12,2023-06-03,Dolo 650,30.0,8,240.0,TXN-11483
GLY-2305-80,2023-06-03,Glycomet 500,22.5,3,67.5,TXN-11484
GEN-11485,2023-06-03,Dolo 650,30.0,3,90.0,TXN-11485
GLY-2305-80,2023-06-03,Glycomet 500,22.5,1,22.5,TXN-11486
PAN-2305-91,2023-06-03,Pan 40,155.0,1,155.0,TXN-11487
GLY-2305-80,2023-06-03,Glycomet 500,22.5,2,45.0,TXN-11488
ALL-2305-58,2023-06-03,Allegra 120,198.0,4,792.0,TXN-11489
PAN-2305-91,2023-06-03,Pan 40,155.0,5,775.0,TXN-11490
GLY-2305-65,2023-06-03,Glycomet 500,22.5,1,22.5,TXN-11491
ALL-2305-35,2023-06-03,Allegra 120,198.0,1,198.0,TXN-11492
ALL-2305-35,2023-06-03,Allegra 120,198.0,5,990.0,TXN-11493
TEL-2306-18,2023-06-03,Telma 40,220.0,3,660.0,TXN-11494
DOL-2305-12,2023-06-03,Dolo 650,30.0,7,210.0,TXN-11495
TEL-2305-49,2023-06-04,Telma 40,220.0,1,220.0,TXN-11496
ALL-2305-35,2023-06-04,Allegra 120,198.0,4,792.0,TXN-11497
TEL-2306-18,2023-06-04,Telma 40,220.0,3,660.0,TXN-11498
ALL-2306-14,2023-06-04,Allegra 120,198.0,2,396.0,TXN-11499
TEL-2305-49,2023-06-04,Telma 40,220.0,1,220.0,TXN-11500
GLY-2305-80,2023-06-04,Glycomet 500,22.5,4,90.0,TXN-11501
ALL-2305-58,2023-06-04,Allegra 120,198.0,4,792.0,TXN-11502
PAN-2306-73,2023-06-04,Pan 40,155.0,4,620.0,TXN-11503
ALL-2305-35,2023-06-04,Allegra 120,198.0,4,792.0,TXN-11504
ALL-2305-35,2023-06-05,Allegra 120,198.0,3,594.0,TXN-11505
ALL-2306-14,2023-06-05,Allegra 120,198.0,5,990.0,TXN-11506
TEL-2306-18,2023-06-05,Telma 40,220.0,4,880.0,TXN-11507
GEN-11508,2023-06-05,Azithral 500,118.5,3,355.5,TXN-11508
ALL-2305-58,2023-06-05,Allegra 120,198.0,4,792.0,TXN-11509
PAN-2306-73,2023-06-05,Pan 40,155.0,2,310.0,TXN-11510
GEN-11511,2023-06-05,Telma 40,220.0,4,880.0,TXN-11511
ALL-2305-58,2023-06-05,Allegra 120,198.0,4,792.0,TXN-11512
TEL-2305-98,2023-06-05,Telma 40,220.0,2,440.0,TXN-11513
ALL-2306-14,2023-06-05,Allegra 120,198.0,2,396.0,TXN-11514
PAN-2305-20,2023-06-05,Pan 40,155.0,5,775.0,TXN-11515
DOL-2306-93,2023-06-05,Dolo 650,30.0,10,300.0,TXN-11516
AZI-2305-84,2023-06-05,Azithral 500,118.5,3,355.5,TXN-11517
DOL-2305-12,2023-06-05,Dolo 650,30.0,10,300.0,TXN-11518
DOL-2305-12,2023-06-06,Dolo 650,30.0,6,180.0,TXN-11519
ALL-2306-14,2023-06-06,Allegra 120,198.0,1,198.0,TXN-11520
PAN-2306-73,2023-06-06,Pan 40,155.0,4,620.0,TXN-11521
GLY-2305-80,2023-06-06,Glycomet 500,22.5,4,90.0,TXN-11522
PAN-2305-20,2023-06-06,Pan 40,155.0,2,310.0,TXN-11523
GLY-2305-65,2023-06-06,Glycomet 500,22.5,4,90.0,TXN-11524
GLY-2305-80,2023-06-06,Glycomet 500,22.5,1,22.5,TXN-11525
TEL-2305-49,2023-06-06,Telma 40,220.0,2,440.0,TXN-11526
GLY-2305-80,2023-06-06,Glycomet 500,22.5,3,67.5,TXN-11527
GLY-2305-65,2023-06-06,Glycomet 500,22.5,4,90.0,TXN-11528
PAN-2305-20,2023-06-06,Pan 40,155.0,3,465.0,TXN-11529
DOL-2306-93,2023-06-06,Dolo 650,30.0,9,270.0,TXN-11530
ALL-2305-58,2023-06-07,Allegra 120,198.0,2,396.0,TXN-11531
PAN-2306-73,2023-06-07,Pan 40,155.0,2,310.0,TXN-11532
AZI-2305-84,2023-06-07,Azithral 500,118.5,4,474.0,TXN-11533
DOL-2305-12,2023-06-07,Dolo 650,30.0,6,180.0,TXN-11534
AZI-2305-56,2023-06-07,Azithral 500,118.5,2,237.0,TXN-11535
DOL-2305-12,2023-06-07,Dolo 650,30.0,4,120.0,TXN-11536
AZI-2305-84,2023-06-07,Azithral 500,118.5,2,237.0,TXN-11537
GEN-11538,2023-06-07,Dolo 650,30.0,7,210.0,TXN-11538
ALL-2305-35,2023-06-07,Allegra 120,198.0,1,198.0,TXN-11539
GLY-2306-76,2023-06-07,Glycomet 500,22.5,4,90.0,TXN-11540
ALL-2305-58,2023-06-07,Allegra 120,198.0,2,396.0,TXN-11541
DOL-2305-67,2023-06-07,Dolo 650,30.0,8,240.0,TXN-11542
TEL-2305-49,2023-06-07,Telma 40,220.0,1,220.0,TXN-11543
GLY-2306-76,2023-06-07,Glycomet 500,22.5,4,90.0,TXN-11544
AZI-2306-19,2023-06-07,Azithral 500,118.5,1,118.5,TXN-11545
GEN-11546,2023-06-08,Dolo 650,30.0,6,180.0,TXN-11546
DOL-2305-67,2023-06-08,Dolo 650,30.0,7,210.0,TXN-11547
GLY-2306-76,2023-06-08,Glycomet 500,22.5,3,67.5,TXN-11548
AZI-2305-56,2023-06-08,Azithral 500,118.5,2,237.0,TXN-11549
TEL-2305-98,2023-06-08,Telma 40,220.0,2,440.0,TXN-11550
GLY-2305-65,2023-06-09,Glycomet 500,22.5,4,90.0,TXN-11551
DOL-2306-93,2023-06-09,Dolo 650,30.0,9,270.0,TXN-11552
ALL-2306-14,2023-06-09,Allegra 120,198.0,5,990.0,TXN-11553
TEL-2305-98,2023-06-09,Telma 40,220.0,4,880.0,TXN-11554
TEL-2305-49,2023-06-09,Telma 40,220.0,5,1100.0,TXN-11555
GLY-2305-80,2023-06-09,Glycomet 500,22.5,3,67.5,TXN-11556
PAN-2305-91,2023-06-09,Pan 40,155.0,2,310.0,TXN-11557
DOL-2306-93,2023-06-09,Dolo 650,30.0,5,150.0,TXN-11558
PAN-2305-91,2023-06-09,Pan 40,155.0,5,775.0,TXN-11559
GLY-2305-65,2023-06-10,Glycomet 500,22.5,5,112.5,TXN-11560
GLY-2306-76,2023-06-10,Glycomet 500,22.5,5,112.5,TXN-11561
TEL-2305-98,2023-06-10,Telma 40,220.0,1,220.0,TXN-11562
DOL-2305-12,2023-06-10,Dolo 650,30.0,7,210.0,TXN-11563
TEL-2305-98,2023-06-10,Telma 40,220.0,4,880.0,TXN-11564
TEL-2305-49,2023-06-10,Telma 40,220.0,4,880.0,TXN-11565
GLY-2305-80,2023-06-10,Glycomet 500,22.5,5,112.5,TXN-11566
GEN-11567,2023-06-10,Glycomet 500,22.5,3,67.5,TXN-11567
GLY-2306-76,2023-06-10,Glycomet 500,22.5,1,22.5,TXN-11568
GLY-2305-80,2023-06-10,Glycomet 500,22.5,3,67.5,TXN-11569
PAN-2305-20,2023-06-10,Pan 40,155.0,4,620.0,TXN-11570
ALL-2306-14,2023-06-10,Allegra 120,198.0,5,990.0,TXN-11571
GLY-2306-76,2023-06-10,Glycomet 500,22.5,3,67.5,TXN-11572
AZI-2306-19,2023-06-10,Azithral 500,118.5,1,118.5,TXN-11573
DOL-2305-12,2023-06-11,Dolo 650,30.0,6,180.0,TXN-11574
PAN-2305-91,2023-06-11,Pan 40,155.0,5,775.0,TXN-11575
GEN-11576,2023-06-11,Telma 40,220.0,2,440.0,TXN-11576
PAN-2306-73,2023-06-11,Pan 40,155.0,5,775.0,TXN-11577
DOL-2305-67,2023-06-11,Dolo 650,30.0,7,210.0,TXN-11578
PAN-2305-20,2023-06-11,Pan 40,155.0,5,775.0,TXN-11579
DOL-2305-67,2023-06-11,Dolo 650,30.0,8,240.0,TXN-11580
ALL-2305-35,2023-06-11,Allegra 120,198.0,5,990.0,TXN-11581
PAN-2305-91,2023-06-11,Pan 40,155.0,4,620.0,TXN-11582
TEL-2305-98,2023-06-11,Telma 40,220.0,2,440.0,TXN-11583
GLY-2305-80,2023-06-11,Glycomet 500,22.5,5,112.5,TXN-11584
GEN-11585,2023-06-11,Allegra 120,198.0,4,792.0,TXN-11585
TEL-2305-49,2023-06-11,Telma 40,220.0,3,660.0,TXN-11586
ALL-2305-58,2023-06-12,Allegra 120,198.0,5,990.0,TXN-11587
GLY-2306-76,2023-06-12,Glycomet 500,22.5,5,112.5,TXN-11588
DOL-2305-12,2023-06-12,Dolo 650,30.0,5,150.0,TXN-11589
PAN-2305-91,2023-06-12,Pan 40,155.0,4,620.0,TXN-11590
AZI-2306-19,2023-06-12,Azithral 500,118.5,5,592.5,TXN-11591
DOL-2305-67,2023-06-12,Dolo 650,30.0,4,120.0,TXN-11592
PAN-2306-73,2023-06-12,Pan 40,155.0,2,310.0,TXN-11593
AZI-2305-84,2023-06-12,Azithral 500,118.5,5,592.5,TXN-11594
DOL-2305-12,2023-06-12,Dolo 650,30.0,7,210.0,TXN-11595
PAN-2306-73,2023-06-12,Pan 40,155.0,4,620.0,TXN-11596
TEL-2305-49,2023-06-12,Telma 40,220.0,3,660.0,TXN-11597
TEL-2305-49,2023-06-12,Telma 40,220.0,4,880.0,TXN-11598
TEL-2305-98,2023-06-12,Telma 40,220.0,4,880.0,TXN-11599
GEN-11600,2023-06-12,Telma 40,220.0,3,660.0,TXN-11600
TEL-2305-98,2023-06-13,Telma 40,220.0,4,880.0,TXN-11601
GEN-11602,2023-06-13,Allegra 120,198.0,2,396.0,TXN-11602
GLY-2305-80,2023-06-13,Glycomet 500,22.5,4,90.0,TXN-11603
PAN-2306-73,2023-06-13,Pan 40,155.0,2,310.0,TXN-11604
ALL-2305-35,2023-06-13,Allegra 120,198.0,5,990.0,TXN-11605
ALL-2306-14,2023-06-13,Allegra 120,198.0,5,990.0,TXN-11606
AZI-2305-84,2023-06-13,Azithral 500,118.5,2,237.0,TXN-11607
GLY-2306-76,2023-06-14,Glycomet 500,22.5,4,90.0,TXN-11608
AZI-2306-19,2023-06-14,Azithral 500,118.5,1,118.5,TXN-11609
DOL-2305-67,2023-06-14,Dolo 650,30.0,6,180.0,TXN-11610
PAN-2306-73,2023-06-14,Pan 40,155.0,1,155.0,TXN-11611
ALL-2306-14,2023-06-14,Allegra 120,198.0,5,990.0,TXN-11612
DOL-2305-67,2023-06-15,Dolo 650,30.0,4,120.0,TXN-11613
GLY-2305-65,2023-06-15,Glycomet 500,22.5,5,112.5,TXN-11614
AZI-2306-16,2023-06-15,Azithral 500,118.5,3,355.5,TXN-11615
PAN-2305-20,2023-06-15,Pan 40,155.0,5,775.0,TXN-11616
ALL-2305-58,2023-06-15,Allegra 120,198.0,4,792.0,TXN-11617
DOL-2306-93,2023-06-15,Dolo 650,30.0,10,300.0,TXN-11618
DOL-2306-93,2023-06-15,Dolo 650,30.0,4,120.0,TXN-11619
ALL-2306-84,2023-06-16,Allegra 120,198.0,5,990.0,TXN-11620
AZI-2306-19,2023-06-16,Azithral 500,118.5,4,474.0,TXN-11621
AZI-2306-16,2023-06-16,Azithral 500,118.5,2,237.0,TXN-11622
DOL-2305-67,2023-06-16,Dolo 650,30.0,5,150.0,TXN-11623
AZI-2306-16,2023-06-16,Azithral 500,118.5,2,237.0,TXN-11624
AZI-2306-16,2023-06-16,Azithral 500,118.5,2,237.0,TXN-11625
PAN-2305-20,2023-06-17,Pan 40,155.0,5,775.0,TXN-11626
AZI-2305-84,2023-06-17,Azithral 500,118.5,1,118.5,TXN-11627
DOL-2306-47,2023-06-17,Dolo 650,30.0,9,270.0,TXN-11628
PAN-2306-73,2023-06-17,Pan 40,155.0,5,775.0,TXN-11629
ALL-2306-84,2023-06-17,Allegra 120,198.0,1,198.0,TXN-11630
GEN-11631,2023-06-17,Allegra 120,198.0,5,990.0,TXN-11631
ALL-2306-14,2023-06-18,Allegra 120,198.0,4,792.0,TXN-11632
TEL-2306-18,2023-06-18,Telma 40,2200.0,2,4400.0,TXN-11633
TEL-2305-98,2023-06-18,Telma 40,220.0,2,440.0,TXN-11634
ALL-2306-14,2023-06-18,Allegra 120,198.0,4,792.0,TXN-11635
PAN-2306-73,2023-06-18,Pan 40,155.0,1,155.0,TXN-11636
DOL-2306-93,2023-06-18,Dolo 650,30.0,4,120.0,TXN-11637
PAN-2305-20,2023-06-18,Pan 40,155.0,2,310.0,TXN-11638
AZI-2306-19,2023-06-19,Azithral 500,118.5,1,118.5,TXN-11639
ALL-2306-84,2023-06-19,Allegra 120,198.0,4,792.0,TXN-11640
GLY-2306-20,2023-06-19,Glycomet 500,22.5,4,90.0,TXN-11641
ALL-2305-58,2023-06-19,Allegra 120,198.0,5,990.0,TXN-11642
PAN-2306-73,2023-06-19,Pan 40,155.0,4,620.0,TXN-11643
GLY-2305-65,2023-06-19,Glycomet 500,22.5,1,22.5,TXN-11644
GLY-2305-65,2023-06-20,Glycomet 500,22.5,4,90.0,TXN-11645
GLY-2305-65,2023-06-20,Glycomet 500,22.5,4,90.0,TXN-11646
PAN-2306-73,2023-06-20,Pan 40,155.0,2,310.0,TXN-11647
DOL-2306-93,2023-06-20,Dolo 650,30.0,4,120.0,TXN-11648
TEL-2306-65,2023-06-20,Telma 40,220.0,5,1100.0,TXN-11649
ALL-2305-58,2023-06-20,Allegra 120,198.0,1,198.0,TXN-11650
DOL-2305-67,2023-06-20,Dolo 650,30.0,6,180.0,TXN-11651
AZI-2306-19,2023-06-20,Azithral 500,118.5,5,592.5,TXN-11652
TEL-2306-65,2023-06-20,Telma 40,220.0,4,880.0,TXN-11653
DOL-2305-67,2023-06-20,Dolo 650,30.0,7,210.0,TXN-11654
AZI-2306-19,2023-06-20,Azithral 500,118.5,3,355.5,TXN-11655
TEL-2305-98,2023-06-20,Telma 40,220.0,3,660.0,TXN-11656
ALL-2306-14,2023-06-20,Allegra 120,198.0,1,198.0,TXN-11657
TEL-2306-18,2023-06-20,Telma 40,220.0,2,440.0,TXN-11658
ALL-2305-58,2023-06-21,Allegra 120,198.0,5,990.0,TXN-11659
PAN-2306-73,2023-06-21,Pan 40,155.0,1,155.0,TXN-11660
GEN-11661,2023-06-21,Allegra 120,198.0,2,396.0,TXN-11661
GLY-2306-20,2023-06-21,Glycomet 500,22.5,5,112.5,TXN-11662
GLY-2305-65,2023-06-21,Glycomet 500,22.5,1,22.5,TXN-11663
PAN-2306-73,2023-06-22,Pan 40,155.0,1,155.0,TXN-11664
GEN-11665,2023-06-22,Pan 40,155.0,3,465.0,TXN-11665
GLY-2306-20,2023-06-22,Glycomet 500,22.5,1,22.5,TXN-11666
TEL-2305-98,2023-06-22,Telma 40,220.0,3,660.0,TXN-11667
TEL-2305-98,2023-06-22,Telma 40,220.0,1,220.0,TXN-11668
DOL-2306-47,2023-06-22,Dolo 650,30.0,5,150.0,TXN-11669
TEL-2305-98,2023-06-22,Telma 40,220.0,5,1100.0,TXN-11670
AZI-2306-19,2023-06-22,Azithral 500,118.5,2,237.0,TXN-11671
GLY-2306-20,2023-06-22,Glycomet 500,22.5,5,112.5,TXN-11672
PAN-2305-20,2023-06-22,Pan 40,155.0,3,465.0,TXN-11673
PAN-2306-73,2023-06-22,Pan 40,155.0,1,155.0,TXN-11674
TEL-2305-98,2023-06-22,Telma 40,220.0,2,440.0,TXN-11675
TEL-2305-98,2023-06-22,Telma 40,220.0,4,880.0,TXN-11676
ALL-2305-58,2023-06-22,Allegra 120,198.0,2,396.0,TXN-11677
TEL-2305-98,2023-06-23,Telma 40,220.0,1,220.0,TXN-11678
GLY-2305-65,2023-06-23,Glycomet 500,22.5,5,112.5,TXN-11679
TEL-2305-98,2023-06-23,Telma 40,220.0,1,220.0,TXN-11680
AZI-2306-19,2023-06-23,Azithral 500,118.5,3,355.5,TXN-11681
PAN-2306-73,2023-06-23,Pan 40,155.0,4,620.0,TXN-11682
ALL-2305-58,2023-06-23,Allegra 120,198.0,2,396.0,TXN-11683
AZI-2306-19,2023-06-23,Azithral 500,118.5,1,118.5,TXN-11684
ALL-2305-58,2023-06-23,Allegra 120,198.0,3,594.0,TXN-11685
GLY-2306-20,2023-06-23,Glycomet 500,22.5,4,90.0,TXN-11686
GLY-2306-76,2023-06-23,Glycomet 500,22.5,1,22.5,TXN-11687
PAN-2306-73,2023-06-23,Pan 40,155.0,3,465.0,TXN-11688
PAN-2305-20,2023-06-23,Pan 40,155.0,1,155.0,TXN-11689
PAN-2306-73,2023-06-23,Pan 40,155.0,1,155.0,TXN-11690
GEN-11691,2023-06-23,Dolo 650,30.0,4,120.0,TXN-11691
TEL-2306-18,2023-06-23,Telma 40,220.0,1,220.0,TXN-11692
GLY-2306-20,2023-06-24,Glycomet 500,22.5,1,22.5,TXN-11693
TEL-2305-98,2023-06-24,Telma 40,220.0,2,440.0,TXN-11694
AZI-2306-19,2023-06-24,Azithral 500,118.5,4,474.0,TXN-11695
DOL-2305-67,2023-06-24,Dolo 650,30.0,7,210.0,TXN-11696
PAN-2306-73,2023-06-24,Pan 40,155.0,5,775.0,TXN-11697
PAN-2305-20,2023-06-24,Pan 40,155.0,2,310.0,TXN-11698
TEL-2306-18,2023-06-24,Telma 40,220.0,3,660.0,TXN-11699
ALL-2305-58,2023-06-24,Allegra 120,198.0,5,990.0,TXN-11700
TEL-2306-18,2023-06-24,Telma 40,220.0,3,660.0,TXN-11701
AZI-2306-19,2023-06-24,Azithral 500,118.5,1,118.5,TXN-11702
TEL-2305-98,2023-06-24,Telma 40,220.0,3,660.0,TXN-11703
PAN-2306-73,2023-06-24,Pan 40,155.0,2,310.0,TXN-11704
TEL-2305-98,2023-06-24,Telma 40,220.0,4,880.0,TXN-11705
ALL-2305-58,2023-06-25,Allegra 120,198.0,3,594.0,TXN-11706
GEN-11707,2023-06-25,Telma 40,220.0,5,1100.0,TXN-11707
TEL-2306-65,2023-06-25,Telma 40,220.0,1,220.0,TXN-11708
ALL-2305-58,2023-06-25,Allegra 120,198.0,1,198.0,TXN-11709
ALL-2306-84,2023-06-25,Allegra 120,198.0,4,792.0,TXN-11710
AZI-2306-19,2023-06-25,Azithral 500,118.5,4,474.0,TXN-11711
PAN-2306-73,2023-06-25,Pan 40,155.0,1,155.0,TXN-11712
AZI-2306-19,2023-06-25,Azithral 500,118.5,1,118.5,TXN-11713
ALL-2306-84,2023-06-25,Allegra 120,198.0,4,792.0,TXN-11714
GLY-2306-20,2023-06-25,Glycomet 500,22.5,1,22.5,TXN-11715
TEL-2305-98,2023-06-25,Telma 40,220.0,1,220.0,TXN-11716
TEL-2306-18,2023-06-25,Telma 40,220.0,1,220.0,TXN-11717
ALL-2306-84,2023-06-25,Allegra 120,198.0,4,792.0,TXN-11718
AZI-2306-16,2023-06-26,Azithral 500,118.5,4,474.0,TXN-11719
ALL-2306-14,2023-06-26,Allegra 120,198.0,2,396.0,TXN-11720
ALL-2306-14,2023-06-26,Allegra 120,198.0,1,198.0,TXN-11721
AZI-2306-19,2023-06-26,Azithral 500,118.5,5,592.5,TXN-11722
PAN-2306-73,2023-06-26,Pan 40,155.0,2,310.0,TXN-11723
DOL-2306-47,2023-06-26,Dolo 650,30.0,6,180.0,TXN-11724
ALL-2306-14,2023-06-26,Allegra 120,198.0,1,198.0,TXN-11725
TEL-2306-65,2023-06-26,Telma 40,220.0,5,1100.0,TXN-11726
ALL-2305-58,2023-06-26,Allegra 120,198.0,5,990.0,TXN-11727
TEL-2306-18,2023-06-26,Telma 40,220.0,3,660.0,TXN-11728
PAN-2305-20,2023-06-26,Pan 40,155.0,5,775.0,TXN-11729
TEL-2305-98,2023-06-26,Telma 40,220.0,2,440.0,TXN-11730
GLY-2305-65,2023-06-26,Glycomet 500,22.5,5,112.5,TXN-11731
GEN-11732,2023-06-26,Pan 40,155.0,3,465.0,TXN-11732
AZI-2305-84,2023-06-27,Azithral 500,118.5,1,118.5,TXN-11733
DOL-2306-47,2023-06-27,Dolo 650,30.0,4,120.0,TXN-11734
PAN-2306-73,2023-06-27,Pan 40,155.0,3,465.0,TXN-11735
AZI-2305-84,2023-06-27,Azithral 500,118.5,3,355.5,TXN-11736
DOL-2305-67,2023-06-27,Dolo 650,30.0,7,210.0,TXN-11737
TEL-2305-98,2023-06-27,Telma 40,220.0,1,220.0,TXN-11738
PAN-2306-73,2023-06-27,Pan 40,155.0,5,775.0,TXN-11739
AZI-2306-19,2023-06-27,Azithral 500,118.5,2,237.0,TXN-11740
TEL-2306-18,2023-06-27,Telma 40,220.0,1,220.0,TXN-11741
AZI-2305-84,2023-06-27,Azithral 500,118.5,3,355.5,TXN-11742
ALL-2306-84,2023-06-27,Allegra 120,198.0,5,990.0,TXN-11743
GLY-2306-20,2023-06-27,Glycomet 500,22.5,5,112.5,TXN-11744
GEN-11745,2023-06-28,Azithral 500,118.5,4,474.0,TXN-11745
AZI-2306-19,2023-06-28,Azithral 500,118.5,4,474.0,TXN-11746
DOL-2306-47,2023-06-28,Dolo 650,30.0,6,180.0,TXN-11747
PAN-2306-73,2023-06-28,Pan 40,155.0,1,155.0,TXN-11748
GLY-2305-65,2023-06-28,Glycomet 500,22.5,2,45.0,TXN-11749
GEN-11750,2023-06-28,Dolo 650,30.0,3,90.0,TXN-11750
PAN-2306-73,2023-06-28,Pan 40,155.0,5,775.0,TXN-11751
DOL-2305-67,2023-06-28,Dolo 650,30.0,6,180.0,TXN-11752
GLY-2306-76,2023-06-29,Glycomet 500,22.5,1,22.5,TXN-11753
DOL-2306-47,2023-06-29,Dolo 650,30.0,8,240.0,TXN-11754
GLY-2306-20,2023-06-29,Glycomet 500,22.5,4,90.0,TXN-11755
GLY-2306-76,2023-06-29,Glycomet-500,22.5,3,67.5,TXN-11756
GLY-2306-76,2023-06-29,Glycomet 500,22.5,1,22.5,TXN-11757
ALL-2305-58,2023-06-29,Allegra 120,198.0,1,198.0,TXN-11758
PAN-2306-73,2023-06-29,Pan 40,155.0,2,310.0,TXN-11759
PAN-2305-20,2023-06-29,Pan 40,155.0,1,155.0,TXN-11760
GLY-2306-20,2023-06-29,Glycomet 500,22.5,5,112.5,TXN-11761
TEL-2306-65,2023-06-29,Telma 40,220.0,5,1100.0,TXN-11762
TEL-2305-98,2023-06-29,Telma 40,220.0,4,880.0,TXN-11763
DOL-2306-47,2023-06-29,Dolo 650,30.0,7,210.0,TXN-11764
AZI-2306-19,2023-06-29,Azithral 500,118.5,3,355.5,TXN-11765
PAN-2306-73,2023-06-29,Pan 40,155.0,2,310.0,TXN-11766
AZI-2306-19,2023-06-30,Azithral 500,118.5,5,592.5,TXN-11767
DOL-2305-67,2023-06-30,Dolo 650,30.0,7,210.0,TXN-11768
TEL-2306-18,2023-06-30,Telma 40,220.0,1,220.0,TXN-11769
ALL-2306-84,2023-06-30,Allegra 120,198.0,1,198.0,TXN-11770
AZI-2305-84,2023-06-30,Azithral 500,118.5,4,474.0,TXN-11771
DOL-2306-93,2023-06-30,Dolo 650,30.0,7,210.0,TXN-11772
ALL-2305-58,2023-06-30,Allegra 120,198.0,4,792.0,TXN-11773
ALL-2306-14,2023-06-30,Allegra 120,198.0,1,198.0,TXN-11774
GLY-2305-65,2023-06-30,Glycomet 500,22.5,5,112.5,TXN-11775
PAN-2306-73,2023-06-30,Pan 40,155.0,4,620.0,TXN-11776
ALL-2306-84,2023-06-30,Allegra 120,198.0,5,990.0,TXN-11777
AZI-2306-16,2023-06-30,Azithral 500,118.5,5,592.5,TXN-11778
GEN-11779,2023-06-30,Glycomet 500,22.5,5,112.5,TXN-11779
DOL-2306-47,2023-06-30,Dolo 650,30.0,7,210.0,TXN-11780
TEL-2305-98,2023-07-01,Telma 40,220.0,5,1100.0,TXN-11781
PAN-2306-73,2023-07-01,Pan 40,155.0,2,310.0,TXN-11782
DOL-2306-93,2023-07-01,Dolo 650,30.0,8,240.0,TXN-11783
AZI-2306-19,2023-07-01,Azithral 500,118.5,1,118.5,TXN-11784
ALL-2305-58,2023-07-01,Allegra 120,198.0,1,198.0,TXN-11785
ALL-2306-14,2023-07-01,Allegra 120,198.0,4,792.0,TXN-11786
AZI-2306-19,2023-07-01,Azithral 500,118.5,5,592.5,TXN-11787
GLY-2306-76,2023-07-01,Glycomet 500,22.5,1,22.5,TXN-11788
GLY-2306-20,2023-07-01,Glycomet 500,22.5,3,67.5,TXN-11789
PAN-2305-20,2023-07-01,Pan 40,155.0,3,465.0,TXN-11790
ALL-2306-84,2023-07-01,Allegra 120,198.0,4,792.0,TXN-11791
GEN-11792,2023-07-01,Dolo 650,30.0,8,240.0,TXN-11792
AZI-2306-19,2023-07-01,Azithral 500,118.5,4,474.0,TXN-11793
AZI-2305-84,2023-07-02,Azithral 500,118.5,1,118.5,TXN-11794
GLY-2306-20,2023-07-02,Glycomet 500,22.5,1,22.5,TXN-11795
PAN-2305-20,2023-07-02,Pan 40,155.0,4,620.0,TXN-11796
GEN-11797,2023-07-02,Dolo 650,30.0,6,180.0,TXN-11797
GLY-2305-65,2023-07-02,Glycomet-500,22.5,5,112.5,TXN-11798
PAN-2306-73,2023-07-02,Pan 40,155.0,3,465.0,TXN-11799
GLY-2306-76,2023-07-02,Glycomet 500,22.5,2,45.0,TXN-11800
TEL-2306-65,2023-07-02,Telma 40,220.0,4,880.0,TXN-11801
